name,link,size
-8 (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/-8%20%28Japan%29/-8%20%28Japan%29.iso,1.12 GB
0-ji no Kane to Cinderella - Halloween Wedding (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/0-ji%20no%20Kane%20to%20Cinderella%20-%20Halloween%20Wedding%20%28Japan%29/0-ji%20no%20Kane%20to%20Cinderella%20-%20Halloween%20Wedding%20%28Japan%29.iso,1.09 GB
"007 - From Russia with Love (Europe, Australia) (En,Fr,De,Es,It).iso",https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/007%20-%20From%20Russia%20with%20Love%20%28Europe%2C%20Australia%29%20%28En%2CFr%2CDe%2CEs%2CIt%29/007%20-%20From%20Russia%20with%20Love%20%28Europe%2C%20Australia%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.iso,755.50 MB
"007 - From Russia with Love (UK) (En,Fr,De,Es,It).iso",https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/007%20-%20From%20Russia%20with%20Love%20%28UK%29%20%28En%2CFr%2CDe%2CEs%2CIt%29/007%20-%20From%20Russia%20with%20Love%20%28UK%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.iso,755.34 MB
007 - From Russia with Love (USA).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/007%20-%20From%20Russia%20with%20Love%20%28USA%29/007%20-%20From%20Russia%20with%20Love%20%28USA%29.iso,698.56 MB
007 - Russia yori Ai o Komete (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/007%20-%20Russia%20yori%20Ai%20o%20Komete%20%28Japan%29/007%20-%20Russia%20yori%20Ai%20o%20Komete%20%28Japan%29.iso,702.34 MB
100-Man Ton no Barabara (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/100-Man%20Ton%20no%20Barabara%20%28Japan%29/100-Man%20Ton%20no%20Barabara%20%28Japan%29.iso,333.78 MB
11eyes CrossOver (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/11eyes%20CrossOver%20%28Japan%29/11eyes%20CrossOver%20%28Japan%29.iso,1.33 GB
12-ji no Kane to Cinderella - Halloween Wedding (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/12-ji%20no%20Kane%20to%20Cinderella%20-%20Halloween%20Wedding%20%28Japan%29/12-ji%20no%20Kane%20to%20Cinderella%20-%20Halloween%20Wedding%20%28Japan%29.iso,1.15 GB
12Riven - The Psi-Climinal of Integral (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/12Riven%20-%20The%20Psi-Climinal%20of%20Integral%20%28Japan%29/12Riven%20-%20The%20Psi-Climinal%20of%20Integral%20%28Japan%29.iso,895.44 MB
"2 Games in 1! Archer Maclean's Mercury & Mercury Meltdown (USA) (En,Fr,Es).iso",https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/2%20Games%20in%201%21%20Archer%20Maclean%27s%20Mercury%20%26%20Mercury%20Meltdown%20%28USA%29%20%28En%2CFr%2CEs%29/2%20Games%20in%201%21%20Archer%20Maclean%27s%20Mercury%20%26%20Mercury%20Meltdown%20%28USA%29%20%28En%2CFr%2CEs%29.iso,684.25 MB
2010 FIFA World Cup - Minami Africa Taikai (Japan).iso,https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/2010%20FIFA%20World%20Cup%20-%20Minami%20Africa%20Taikai%20%28Japan%29/2010%20FIFA%20World%20Cup%20-%20Minami%20Africa%20Taikai%20%28Japan%29.iso,1.55 GB
"2010 FIFA World Cup South Africa (Canada) (En,Fr).iso",https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/2010%20FIFA%20World%20Cup%20South%20Africa%20%28Canada%29%20%28En%2CFr%29/2010%20FIFA%20World%20Cup%20South%20Africa%20%28Canada%29%20%28En%2CFr%29.iso,1.63 GB
"2010 FIFA World Cup South Africa (Europe) (En,Nl).iso",https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/2010%20FIFA%20World%20Cup%20South%20Africa%20%28Europe%29%20%28En%2CNl%29/2010%20FIFA%20World%20Cup%20South%20Africa%20%28Europe%29%20%28En%2CNl%29.iso,1.51 GB
"2010 FIFA World Cup South Africa (Europe) (Es,It).iso",https://huggingface.co/datasets/luistiagos/roms/resolve/main/psp/2010%20FIFA%20World%20Cup%20South%20Africa%20%28Europe%29%20%28Es%2CIt%29/2010%20FIFA%20World%20Cup%20South%20Africa%20%28Europe%29%20%28Es%2CIt%29.iso,1.41 GB
