description,developer,format,genre,link,name,path,players,publisher,releasedate,size
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/2010%20FIFA%20World%20Cup%20South%20Africa%20%28USA%29%20%28En%2CEs%29.iso?download=true,"2010 FIFA World Cup South Africa (USA) (En,Es).iso","2010 FIFA World Cup South Africa (USA) (En,Es).iso",,,,1.76 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/24-ji%20no%20Kane%20to%20Cinderella%20-%20Halloween%20Wedding%20%28Japan%29.iso?download=true,24-ji no Kane to Cinderella - Halloween Wedding (Japan).iso,24-ji no Kane to Cinderella - Halloween Wedding (Japan).iso,,,,923 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/ACE%20COMBAT%20JOINT%20ASSAULT%20%5BULUS10511%5D.7z?download=true,ACE COMBAT JOINT ASSAULT [ULUS10511],ACE COMBAT JOINT ASSAULT [ULUS10511].7z,,,,1.15 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Akatsuki%20no%20Goei%20Trinity%20%28Japan%29%20%28Disc%201%29.iso?download=true,Akatsuki no Goei Trinity (Japan) (Disc 1).iso,Akatsuki no Goei Trinity (Japan) (Disc 1).iso,,,,1.15 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Akatsuki%20no%20Goei%20Trinity%20%28Japan%29%20%28Disc%202%29.iso?download=true,Akatsuki no Goei Trinity (Japan) (Disc 2).iso,Akatsuki no Goei Trinity (Japan) (Disc 2).iso,,,,1.40 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Arcana%20Famiglia%20-%20La%20Storia%20della%20Arcana%20Famiglia%20%28Japan%29.iso?download=true,Arcana Famiglia - La Storia della Arcana Famiglia (Japan).iso,Arcana Famiglia - La Storia della Arcana Famiglia (Japan).iso,,,,1.29 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Arcana%20Famiglia%20-%20Vascello%20Phantasma%20no%20Majutsushi%20%28Japan%29.iso?download=true,Arcana Famiglia - Vascello Phantasma no Majutsushi (Japan).iso,Arcana Famiglia - Vascello Phantasma no Majutsushi (Japan).iso,,,,1.12 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Arcobaleno%21%20Portable%20%28Japan%29.iso?download=true,Arcobaleno! Portable (Japan).iso,Arcobaleno! Portable (Japan).iso,,,,1.13 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Are%20You%20Alice%20%28Japan%29.iso?download=true,Are You Alice (Japan).iso,Are You Alice (Japan).iso,,,,1.65 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Armored%20Core%20-%20Formula%20Front%20International%20%28Japan%29%20%28En%2CJa%29.iso?download=true,"Armored Core - Formula Front International (Japan) (En,Ja).iso","Armored Core - Formula Front International (Japan) (En,Ja).iso",,,,901 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Army%20of%20Two%20-%20The%2040th%20Day%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.iso?download=true,"Army of Two - The 40th Day (Europe) (En,Fr,De,Es,It).iso","Army of Two - The 40th Day (Europe) (En,Fr,De,Es,It).iso",,,,900 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Asaki%2C%20Yumemishi%20%28Japan%29.iso?download=true,"Asaki, Yumemishi (Japan).iso","Asaki, Yumemishi (Japan).iso",,,,1.52 GB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/ASPHALT%20%20-%20URBAN%20GT%202%20%5BULES00719%5D.7z?download=true,ASPHALT  - URBAN GT 2 [ULES00719],ASPHALT  - URBAN GT 2 [ULES00719].7z,,,,60 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Asphalt%20-%20Urban%20GT%202%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.iso?download=true,"Asphalt - Urban GT 2 (Europe) (En,Fr,De,Es,It).iso","Asphalt - Urban GT 2 (Europe) (En,Fr,De,Es,It).iso",,,,884 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Assassin%27s%20Creed%20-%20Bloodlines%E2%84%A2%20%5BNPUH10032%5D.7z?download=true,Assassin's Creed - Bloodlines™ [NPUH10032],Assassin's Creed - Bloodlines™ [NPUH10032].7z,,,,418 MB
,,,,https://huggingface.co/datasets/luistiagos/roms/resolve/main/Ben%2010%20-%20Protector%20of%20Earth%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.iso?download=true,"Ben 10 - Protector of Earth (Europe) (En,Fr,De,Es,It).iso","Ben 10 - Protector of Earth (Europe) (En,Fr,De,Es,It).iso",,,,674 MB
