name,size,link
.gitattributes,0 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/.gitattributes?download=true
.gitattributes,0 MB,https://huggingface.co/datasets/Emuladores/psxjp/resolve/main/.gitattributes?download=true
007 - The World Is Not Enough (USA) (Beta).chd,435 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/007%20-%20The%20World%20Is%20Not%20Enough%20%28USA%29%20%28Beta%29.chd?download=true
007 - The World Is Not Enough (USA).chd,413 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/007%20-%20The%20World%20Is%20Not%20Enough%20%28USA%29.chd?download=true
007 - Tomorrow Never Dies (USA).chd,331 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/007%20-%20Tomorrow%20Never%20Dies%20%28USA%29.chd?download=true
007 Racing (USA).chd,334 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/007%20Racing%20%28USA%29.chd?download=true
10th Anniversary Memorial Save Data (Japan) (Disc 1) (PlayStation Taiou).chd,63 MB,https://huggingface.co/datasets/Emuladores/psxjp/resolve/main/10th%20Anniversary%20Memorial%20Save%20Data%20%28Japan%29%20%28Disc%201%29%20%28PlayStation%20Taiou%29.chd?download=true
16 Tales 1 (USA).chd,466 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/16%20Tales%201%20%28USA%29.chd?download=true
16 Tales 2 (USA).chd,468 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/16%20Tales%202%20%28USA%29.chd?download=true
16 Tales 3 (USA).chd,469 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/16%20Tales%203%20%28USA%29.chd?download=true
16 Tales 4 (USA).chd,463 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/16%20Tales%204%20%28USA%29.chd?download=true
1Xtreme (USA).chd,316 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/1Xtreme%20%28USA%29.chd?download=true
"2002 FIFA World Cup (USA) (En,Es).chd",335 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/2002%20FIFA%20World%20Cup%20%28USA%29%20%28En%2CEs%29.chd?download=true
2Xtreme (USA).chd,342 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/2Xtreme%20%28USA%29.chd?download=true
3D Baseball (USA).chd,171 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/3D%20Baseball%20%28USA%29.chd?download=true
3D Lemmings (USA).chd,356 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/3D%20Lemmings%20%28USA%29.chd?download=true
3Xtreme (USA) (Demo).chd,69 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/3Xtreme%20%28USA%29%20%28Demo%29.chd?download=true
3Xtreme (USA).chd,212 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/3Xtreme%20%28USA%29.chd?download=true
40 Winks (USA).chd,377 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/40%20Winks%20%28USA%29.chd?download=true
Akagawa Jirou - Yasoukyoku (Japan) (Shokai Genteiban).chd,207 MB,https://huggingface.co/datasets/Emuladores/psxjp/resolve/main/Akagawa%20Jirou%20-%20Yasoukyoku%20%28Japan%29%20%28Shokai%20Genteiban%29.chd?download=true
Akuji the Heartless (USA).chd,179 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Akuji%20the%20Heartless%20%28USA%29.chd?download=true
"Alexi Lalas International Soccer (USA) (En,Fr,De,Es,It).chd",45 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Alexi%20Lalas%20International%20Soccer%20%28USA%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.chd?download=true
Alien Resurrection (USA).chd,158 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Alien%20Resurrection%20%28USA%29.chd?download=true
Alien Trilogy (USA).chd,274 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/Alien%20Trilogy%20%28USA%29.chd?download=true
All Star Racing (USA).chd,174 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/All%20Star%20Racing%20%28USA%29.chd?download=true
All Star Racing 2 (USA).chd,187 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/All%20Star%20Racing%202%20%28USA%29.chd?download=true
All-Star Baseball 97 featuring Frank Thomas (USA).chd,132 MB,https://huggingface.co/datasets/Emuladores/psxusa/resolve/main/All-Star%20Baseball%2097%20featuring%20Frank%20Thomas%20%28USA%29.chd?download=true
